NOTES;ENGLISH;FRANÇAIS;DEUTSCH;ESPAÑOL;ITALIANO;PORTUGUÊS(BR);РУССКИЙ;POLSKI;JAPANESE;KOREAN (한국어);简体中文;繁體中文;final column.
;HELLO THERE...#I LIKE TO HEAR THE OCEAN,#SOMETIMES I WAVE AT THE BOATS!#SOMETIMES THEY WAVE BACK,#THAT'S VERY NICE OF THEM...#THE OCEAN ALSO SMELLS GREAT!#SALTY, FRESH AIR...#ANYWAY, WHERE WAS I?#THE TREASURE! RIGHT...#I USED TO LOVE TREASURE,#IN MY DAY IT WAS EVERYWHERE...#JUST PILES OF IT...#TO GET IT, AVOID SHARKS!#SWIM WEST OF HERE,#THEN AT THE LITTLE ROCK HEAD SOUTH!;BONJOUR...#J'AIME LE BRUIT DES VAGUES.#PARFOIS JE FAIS SIGNE AUX BATEAUX !#ILS ME SALUENT SOUVENT EN RETOUR,#C'EST GENTIL DE LEUR PART, NON ?#ET L'ODEUR IODÉE DE L'OCÉAN !#QUEL DÉLICE !#ET SURTOUT...#LES TRÉSORS ! #DE MON TEMPS, IL Y EN AVAIT PARTOUT...#IL SUFFISAIT DE SE BAISSER...#JE TE DONNE UN TUYAU !#NAGE VERS L'OUEST,#PUIS AU ROCHER ÉMERGÉ, CAP AU SUD !#MAIS, GARE AUX REQUINS !;HALLO...#GERN HÖRE ICH DEM OZEAN ZU,#MANCHMAL WINKE ICH DEN BOOTEN!#AB UND ZU WINKEN SIE ZURÜCK,#DAS FINDE ICH SEHR NETT...#UND DAS MEER RIECHT SO GUT!#SALZIGE, FRISCHE LUFT...#WO WAR ICH GLEICH?#JA, DER SCHATZ! RICHTIG...#ICH HABE SCHÄTZE GELIEBT, FRÜHER#WAR AUCH ALLES VOLL VON DENEN...#BERGEWEISE...#ACHTE GUT AUF DIE HAIE!#SCHWIMM NACH WESTEN, DANN#BEIM KLEINEN FELSEN NACH SÜDEN!;HOLA...#ME GUSTA ESCUCHAR EL MAR.#¡A VECES SALUDO A LOS BARCOS!#Y, EN OCASIONES, ME RESPONDEN.#¡TODO UN DETALLE!#ADEMÁS, ME ENCANTA EL OLOR A OCÉANO.#AIRE FRESCO Y SALADO...#EN FIN, ¿POR DÓNDE IBA?#¡EL TESORO! VALE...#ME PIRRABA POR UN BUEN TESORO,#EN MIS TIEMPOS ABUNDABAN...#HABÍA MONTONES...#¡PARA LOGRARLO, EVITA LOS TIBURONES!#NADA HACIA EL OESTE Y, AL LLEGAR#A LA ROCA, VE AL SUR.;SALVE...#AMO ASCOLTARE L'OCEANO,#A VOLTE SALUTO LE BARCHE!#A VOLTE MI SALUTANO ANCHE LORO,#SONO MOLTO GENTILI...#IL PROFUMO DELL'OCEANO È FANTASTICO!#L'ARIA FRESCA, SALMASTRA...#MA DOVE ERO RIMASTO?#AH, IL TESORO! OH, SÌ...#ADORAVO I TESORI,#AI MIEI TEMPI ERANO OVUNQUE...#CE N'ERANO UN MUCCHIO...#PER TROVARLO, EVITA GLI SQUALI!#NUOTA VERSO OVEST,#POI, AL PICCOLO SCOGLIO, VAI A SUD!;OLÁ...#EU GOSTO DE ESCUTAR O OCEANO,#ÀS VEZES EU ACENO PARA OS BARCOS!#ÀS VEZES ELES ACENAM DE VOLTA,#SÃO TÃO LEGAIS...#ADORO O CHEIRO DO OCEANO TAMBÉM!#A ÁGUA SALGADA, O AR FRESCO...#O QUE EU DIZIA?#AH, O TESOURO! CERTO...#EU ADORAVA TESOUROS,#NA MINHA ÉPOCA ESTAVAM EM TODO LADO...#MONTES E MONTES...#PARA O ALCANÇAR, EVITE OS TUBARÕES!#NADE PARA OESTE,#DEPOIS, NA PEDRINHA, VÁ PARA O SUL!;ПРИВЕТ ТЕБЕ...#МНЕ НРАВИТСЯ СЛУШАТЬ ОКЕАН,#ИНОГДА Я МАШУ ЛОДКАМ РУКОЙ!#ИНОГДА ОНИ МАШУТ В ОТВЕТ,#ОЧЕНЬ МИЛО С ИХ СТОРОНЫ...#ОКЕАН ТАК ЗДОРОВО ПАХНЕТ!#СОЛЕНЫЙ, СВЕЖИЙ ВОЗДУХ...#ЧТО Ж, О ЧЕМ Я?#СОКРОВИЩА! ВЕРНО...#КОГДА-ТО МНЕ НРАВИЛИСЬ СОКРОВИЩА,#В МОЕ ВРЕМЯ ОНИ БЫЛИ ПОВСЮДУ...#ЦЕЛЫМИ КУЧАМИ...#НО ОСТЕРЕГАЙСЯ АКУЛ!#ПЛЫВИ НА ЗАПАД ОТСЮДА,#У МАЛЕНЬКОЙ СКАЛЫ ПОВЕРНИ НА ЮГ!;WITAM...#LUBIĘ SŁUCHAĆ SZUMU OCEANU,#CZASAMI MACHAM W STRONĘ ŁODZI!#CZASAMI MI ODMACHUJĄ,#TO MIŁE...#OCEAN PACHNIE WSPANIALE!#SŁONE, ŚWIEŻE POWIETRZE...#NA CZYM TO JA SKOŃCZYŁEM?#SKARB! RACJA...#KIEDYŚ UWIELBIAŁEM SKARBY,#ZA MOICH CZASÓW BYŁY WSZĘDZIE...#CAŁE STOSY...#ABY GO ZDOBYĆ, UNIKAJ REKINÓW!#PŁYŃ NA ZACHÓD,#A PRZY SKALE SKRĘĆ NA POŁUDNIE!;やぁ おわかいの…#なみの おとを きくのが すきでね#ときには なみにうかぶ ふねに あいさつするのさ!#そこで はじまる かいわも あったりな#たいがいは いい れんちゅうさ#いその かおりも いいだろう!#ちょっと しおからくて しんせんな くうき…#ええっと どこまで はなしたかな?#そうそう たからだ!#わかいころは たからが すきだった#とうじは そこらじゅうに あってな…#やまづみに なって…#てにいれるには サメに ようじんせよ!#ここより にしへ すすめ#ちいさな いわを みつけたら みなみへ!;아아... 반갑네...#나는 바다의 소리를 듣는 걸 좋아한다네.#가끔은 보트로 파도를 타기도 하고 말이네!#파도가 되몰아치곤 하면,#정말 아름답다네...#바다는 냄새도 향기롭다네!#신선하고 기분 좋은 짠내...#그나저나, 무슨 이야기였지?#맞아, 보물! 알겠네 알겠어...#한때 보물이 여기저기에 넘쳐나던 시절엔#나도 보물을 좋아하곤 했었는데...#보물들이 마치 산더미처럼...#어쨌든, 보물을 얻고 싶다면 상어들을 피하게!#여기서 서쪽으로 수영하고,#작은 바위에서 남쪽으로 가게나!;你~好~啊……#我~喜~欢~听~海~的~声~音，#偶~尔~会~向~那~些~船~挥~手！#他~们~偶~尔~也~会~回~应~我，向~我~挥~手，#他~们~真~的~很~友~好……#大~海~的~气~味~好~好~闻！#咸~鲜~咸~鲜~的……#对~了，我~在~哪？#哦，宝~藏！没~错……#我~以~前~超~喜~欢~宝~藏，#在~我~那~个~年~代，到~处~都~有~宝~藏……#成~堆~成~堆~的……#如~果~你~想~拿~宝~藏~的~话，就~得~避~开~那~些~鲨~鱼！#先~先~从~这~往~西~游，#碰~到~小~石~头~后~再~往~南~游！;你好 ...＃我喜歡聽海洋,#有時候我在船上揮手!＃有時它們也會向我招手,＃非常好…#海洋的氣味也很不錯!＃咸咸的，清新的空氣.. #無論如何，我在哪裡?＃寶藏! 是的…#我曾經很喜歡寶藏,#在我的日子裡,任何地方都有...＃只占到了其中的一小部分......＃為了得到它，躲掉鯊魚!#遊到西面# ,#在抵達小岩石時轉頭朝南!;
;WHAT ARE YOU LOOKING AT?;ARRACHE-TOI D'LÀ !#T'ES PAS DE MA MEUTE !;WAS SCHAUST DU SO?;¿QUÉ MIRAS?;CHE HAI DA GUARDARE?;TÁ OLHANDO O QUÊ?;НА ЧТО ТЫ СМОТРИШЬ?;NO CO SIĘ TAK PATRZYSZ?;おめー なに みてんだよ?;뭘 보는 거냐?;看什么看？;你在找什麼?;
;WHAT?;QUOI ?;WAS?;¿QUÉ?;COME OSI?;AHN?;ЧТО?;CO?;あぁん?;뭐 하는 거냐?;想搞事？;什麼?;
;WHATEVER...;PFFT...;WENN SCHON...;ES IGUAL...;NON M'IMPORTA...;BAH...;НЕВАЖНО...;NIEWAŻNE...;どーでもいいね…;맘대로 해...;随便了……;無論如何…;
;;;;;;;;;;;;;
;SO GLAD THOSE CRABS ARE GONE!;J'EN POUVAIS PLUS DE CES CRABES !;GUT, DASS DIE KREBSE WEG SIND!;¡MENOS MAL, LOS CANGREJOS SE HAN IDO!;SONO FELICE! ADDIO, GRANCHI!;QUE BOM QUE OS CARANGUEJOS SE FORAM!;КАК ХОРОШО, ЧТО КРАБОВ БОЛЬШЕ НЕТ!;CIESZĘ SIĘ, ŻE JUŻ NIE MA TYCH KRABÓW!;いまわしい カニが いなくなって ホッとした!;게들이 사라졌다니 기뻐!;那些螃蟹都没了可真让人高兴！;真高興螃蟹消失了!;
;THE CRABS ARE GONE?#HERE'S A FREE COFFEE!#SHOULD LET YOU PUSH BOXES.;TU AS EU TOUS LES CRABES ?#UN CAFÉ, CADEAU DE LA MAISON !#ESSAIE DE BOUGER UNE CAISSE.;DIE KREBSE SIND WEG?#HIER HAST DU EINEN KAFFEE!#DU SOLLTEST KISTEN SCHIEBEN.;¿LOS CANGREJOS SE HAN IDO?#¡TOMA, CAFÉ GRATIS!#PARA QUE EMPUJES CAJAS.;I GRANCHI SONO SPARITI?#ECCOTI UN CAFFÈ GRATIS!#TI FARÀ SPINGERE LE CASSE.;OS CARANGUEJOS SE FORAM?#TOME UM CAFÉ GRÁTIS!#VAI AJUDAR A MOVER CAIXAS.;КРАБОВ БОЛЬШЕ НЕТ?#ДЕРЖИ БЕСПЛАТНЫЙ КОФЕ!#ПОЗВОЛИТ ТЕБЕ ТОЛКАТЬ ЯЩИКИ.;NIE MA KRABÓW?#KAWA NA KOSZT FIRMY!#POMOŻE CI W PRZESUWANIU SKRZYNEK.;あいつら どっか いったか?#おれいの コーヒーだ!#ボックスを うごかすのに やくにたつ;게들이 사라졌다고?#여기 공짜로 커피라도 줄게!#상자를 밀어낼 수 있게 될 거야!;那些螃蟹都没了？#这杯咖啡免费给你了！#它能让你推动箱子。;螃蟹消失了麼?#為你提供一杯免費的咖啡!#試試推箱子吧.;
;IF ONLY SOMEONE WOULD TAKE#CARE OF THAT FINAL CRAB!;SI SEULEMENT QUELQU'UN ME#DÉBARRASSAIT DE CE DERNIER CRABE !;WÜRDE SICH DOCH JEMAND UM DEN#LETZTEN KREBS KÜMMERN!;¡SI ALGUIEN PUDIERA OCUPARSE#DEL ÚLTIMO CANGREJO!;SE SOLO QUALCUNO SI OCCUPASSE#DI QUELL'ULTIMO GRANCHIO!;SE AO MENOS ALGUÉM SE LIVRASSE#DO CARANGUEJO FINAL!;ЕСЛИ БЫ КТО-НИБУДЬ ЗАНЯЛСЯ#ТЕМ ПОСЛЕДНИМ КРАБОМ!;GDYBY TYLKO KTOŚ ZAJĄŁ SIĘ#TYM OSTATNIM KRABEM!;とりあえず なんでもいいから#さいごの カニを なんとか してくれ!;누가 좀 저 마지막 남은#게를 처리해준다면 좋을 텐데!;要是有人能解决掉最后#那只螃蟹就好了！;要是有人願意#負責最後的那只螃蟹就好了!;
;IF ONLY SOMEONE WOULD TAKE#CARE OF THOSE @ CRABS!#USED TO BE A LOT BUSIER HERE...;SI SEULEMENT QUELQU'UN#S'OCCUPAIT DE CES @ CRABES !#C'ÉTAIT BIEN PLUS ANIMÉ ICI, AVANT...;JEMAND MUSS SICH UM DIE @ KREBSE#KÜMMERN! HIER WAR IMMER VIEL LOS...;SI ALGUIEN SE OCUPARA DE ESOS @#CANGREJOS... ¡ANTES VENÍA MÁS GENTE!;SE SOLO QUALCUNO SI#OCCUPASSE DI QUEI @ GRANCHI!#PRIMA VENIVA MOLTA PIÙ GENTE QUI...;ALGUÉM PODIA SE LIVRAR DAQUELES#@ CARANGUEJOS!#ERA BEM MAIS MOVIMENTADO POR AQUI...;ЕСЛИ БЫ КТО-НИБУДЬ#ЗАНЯЛСЯ ТЕМИ @ КРАБАМИ!#ЗДЕСЬ БЫЛО БЫ ГОРАЗДО ЛЮДНЕЕ...;KTOŚ MÓGŁBY ZAJĄĆ SIĘ TYMI @ KRABAMI!#KIEDYŚ BYWAŁO TU WIĘCEJ KLIENTÓW…;おいおい かんべん してくれよ#まだ @ ひきも のこってるじゃないか!#まったく なんだっていうんだ いったい…;누가 좀 저 @마리의#게들을 처리해준다면 좋을 텐데!#다들 바쁘네...;要是有人能解决掉那@只螃蟹就好了！#这里以前可要热闹得多……;要是有人願意#負責最後的那只螃蟹就好了!過去這裡曾十分忙碌…;
;;;;;;;;;;;;;
;WISH THERE WAS SOME MUSIC!;ÇA MANQUE DE MUSIQUE !;ICH WÜNSCHTE, WIR HÄTTEN ETWAS MUSIK!;¡OJALÁ HUBIERA ALGO DE MÚSICA!;VORREI DELLA MUSICA!;QUERIA OUVIR ALGUMA MÚSICA!;ВОТ БЫ МУЗЫКУ СЮДА КАКУЮ-НИБУДЬ!;CHCĘ POSŁUCHAĆ INNEJ MUZYKI!;なにか おんがくが ききたいなぁ!;그 노래가 흐른다면 좋을 텐데!;希望能来些音乐！;有點音樂就好了!;
;NO!;NON !;NEIN!;¡NO!;NO!;NÃO!;НЕТ!;NIE!;やめて!;뭐 하는 거야!;别搞我！;不!;
;EVERYTHING IS TERRIBLE!;TOUT LE MONDE M'EN VEUT !;ALLES IST FURCHTBAR!;¡TODO ES TERRIBLE!;MA È TUTTO ORRIBILE!;TÁ TUDO HORRÍVEL!;ВСЕ УЖАСНО!;WSZYSTKO JEST STRASZNE!;なんて ひどいことを!;모든 게 끔찍하군!;太糟糕了！;一切都變得很可怕!;
;THAT'S THE GOOD STUFF!#DO YOU FEEL IT?;ÇA, C'EST DE LA MUSIQUE !#ÇA FILE LA PÊCHE, NON ?;SO IST ES GUT! KANNST#DU ES SPÜREN?;¡ESTO SÍ QUE MOLA!#¿LO VES?;QUESTA SÌ CHE È OK!#NON TI PARE?;AGORA SIM!#CONCORDA COMIGO?;А ЭТО КЛАССНАЯ ТЕМА!#ЧУВСТВУЕШЬ?;DOBRE!#CZUJESZ TEN RYTM?;それそれ それだよ!#あんた センスいいな!;멋진 음악이야!#비트가 느껴지니?;那音乐太美妙了！#你能感觉得到吗？;音樂太美妙了!#聽到了麼?;
;WISH THERE WAS SOME REAL MUSIC!;ÇA ME DÉPRIME CETTE MUSIQUE RINGARDE !;ICH WÜNSCHTE, WIR HÄTTEN#RICHTIGE MUSIK!;¡OJALÁ HUBIERA MÚSICA DE VERDAD!;VORREI DELLA VERA MUSICA!;QUERIA OUVIR UMA MÚSICA DE VERDADE!;СЮДА БЫ КАКУЮ-НИБУДЬ ХОРОШУЮ МУЗЫКУ!;CHCĘ POSŁUCHAĆ PRAWDZIWEJ MUZYKI!;これでも おんがくって いうんだから まったく!;진정한 노래를 듣고 싶어!;希望能来些真音乐！;真希望真的能來點音樂!;
;;;;;;;;;;;;;
;WATER...;DE L'EAU...;WASSER...;AGUA...;ACQUA...;ÁGUA...;ВОДЫ...;WODY...;み… みず…;물...;水……;水…;
;YOU'VE SAVED MY LIFE...#COME SEE ME AT THE SIGN MAKER!;TU M'AS SAUVÉ LA VIE...#PASSE DONC ME VOIR,#CHEZ LE FABRICANT DE PANNEAUX !;DU HAST MICH GERETTET...#BESUCH MICH BEIM SCHILDERMACHER!;ME HAS SALVADO LA VIDA...#¡VEN A VERME AL CARTELISTA!;MI HAI SALVATO LA VITA...#PASSA DA ME, ALLA PRODUZIONE CARTELLI!;VOCÊ SALVOU MINHA VIDA...#ME ENCONTRE NO PLAQUEIRO!;МОЯ ЖИЗНЬ СПАСЕНА...#НАВЕСТИ МЕНЯ У ОБОЗНАЧАТЕЛЯ!;RATUJESZ MI ŻYCIE...#SPOTKAJMY SIĘ U SZYLDZIARZA!;てんの たすけ…#かんばんやに いるから きておくれ!;네가 아니었음 죽었을 거야...#나중에 표지판쟁이가 있는 곳으로 와줘!;你救了我的命……#来路牌制造所见我吧！;你救了我的命…#來做標誌牌的地方見我吧!;
;WHY ME?;POURQUOI TOUJOURS MOI ?;WARUM ICH?;¿POR QUÉ YO?;PERCHÉ A ME?;POR QUE EU?;ПОЧЕМУ Я?;DLACZEGO JA?;なんで おれが?;왜 때려?;为什么要搞我？;為什麼是我?;
;HEY STRANGER,#THANKS AGAIN FOR THE WATER!#COME SEE ME AT THE SIGN MAKER.;SALUT ÉTRANGER,#ENCORE MERCI POUR L'EAU !#PASSE DONC ME VOIR,#CHEZ LE FABRICANT DE PANNEAUX !;HE, FREMDER,#DANKE NOCHMAL FÜR DAS WASSER!#BESUCH MICH BEIM SCHILDERMACHER.;EH, OYE.#GRACIAS DE NUEVO POR EL AGUA.#VEN A VERME AL CARTELISTA.;EHI, TU,#GRAZIE ANCORA PER L'ACQUA!#PASSA DA ME, ALLA PRODUZIONE CARTELLI.;OLÁ, FORASTEIRO!#OBRIGADO DE NOVO PELA ÁGUA!#ME ENCONTRE NO PLAQUEIRO.;ЭЙ, ПУТНИК,#ЕЩЕ РАЗ СПАСИБО ЗА ВОДУ!#НАВЕСТИ МЕНЯ У ОБОЗНАЧАТЕЛЯ!;HEJ,#JESZCZE RAZ DZIĘKI ZA WODĘ!#SPOTKAJMY SIĘ U SZYLDZIARZA!;なもなき おかたへ#みずを めぐんでくださり ありがとうございました!#かんばんやで まってます;저기 여행자,#아까 물을 줘서 정말 고마워!#나중에 표지판쟁이가 있는 곳으로 와줘!;嗨，陌生人，#容我再次感谢！#来路牌制造所见我吧。;嗨,陌生人,#再次感謝你#來做標誌牌的地方見我吧!;
;HHHST RANG,,,#THTHN AG FFFFFFTHWATER,#COM A SEUMEEMEME SMSTM. ;SUT RANG,,,#MECI PRR LLLEEEAU,#PSS DNC MVIR#CZZ LFBRIANT DPNEUX !;HH FRMDRRR, #DAAAEOHHMLA FFR DSSWSSA!R #BSUUHH MCH IIIM SHCLDRMMHOHR. ;EHH, YE...#GGCIS DE NUUUVVPRAGUUU,#ENAVERRRRM SÑÑDOR. ;EE, TTTU,,,#GRRRZZZZZ AAANCRACCCQ!#PSSSDDDMEA A A PRODONEZIOCRTLLL. ;OLL FRRTRRO!!!#OBOBGGD D NVVVO PLLLL AGGAAAA!#ME ENNCTR NN PLLLQR. ;ЭЭЭ УТНИ,,,#СПСБ ЕЩ ЕРАЗЗЗЗЗАВОДУ,#НВЕСТИ У МЕМЕМБООЗЧАНЛЯЕТ. ;HHHHJ,,,#JSZCZZCCZE RRRDZKI ZA WWWD!#SPTKJM SI UU SZLDZRRZ. ;なしよき のかた～#のす～ めぐへてくたさい ありかとこ#カへばんや まてます;저기기 자행여,#까아아 줘을물 서서 말고워 마정정!#로지중 나판 방으표공 줘줘와게! ;海，百生人，#容再次感射射射射，#来示牌制告告所见我巴。;每,白生,#感射#來故示志牌的地方見一巴!;
;. . .;. . .;. . .;. . .;. . .;. . .;. . .;. . .;. . .;. . .;…………;;
;;;;;;;;;;;;;
;THANKS FOR SAVING ME!#GRAB THE ITEM WEST OF HERE#AND COME SEE ME AT MY BOAT.;MERCI DE M'AVOIR SAUVÉ !#RÉCUPÈRE L'OBJET À L'OUEST D'ICI,#PUIS PASSE ME VOIR SUR MON BATEAU.;DANKE FÜR MEINE RETTUNG!#HOL DEN GEGENSTAND IM WESTEN#UND BESUCH MICH BEI MEINEM BOOT.;¡GRACIAS POR SALVARME!#COGE EL OBJETO QUE HAY AL OESTE#Y VEN A VERME A MI BARCA.;GRAZIE PER AVERMI SALVATO!#PRENDI L'OGGETTO A OVEST#E POI TORNA ALLA MIA BARCA.;OBRIGADO POR ME SALVAR!#PEGUE O ITEM A OESTE DAQUI#E ME ENCONTRE NO MEU BARCO.;СПАСИБО ЗА СПАСЕНИЕ!#ЗАБЕРИ ПРЕДМЕТ К ЗАПАДУ ОТСЮДА#И НАВЕСТИ МЕНЯ У МОЕЙ ЛОДКИ.;DZIĘKI ZA RATUNEK!#WEŹ PRZEDMIOT NA ZACHÓD STĄD#I ODWIEDŹ MNIE PRZY ŁODZI.;さっきは ありがとう!#ここから にしにある アイテムを てにいれて#ボートまで きてくれ;날 구해줘서 정말 고마워!#여기서 서쪽에 있는 아이템을 가져가고#나중에 보트로 와줘.;感谢你救了我！#请拿走这西边的物品，#然后到船上来见我。;感謝你救了我#請拿起西邊的物品#之後到船上來見我.;
;HAHA,#I REMEMBER THAT!;HA HA, ÇA ME RAPPELLE#NOTRE RENCONTRE !;HAHA,#DARAN WERDE ICH DENKEN!;¡JA, JA,#LO RECUERDO!;AH AH,#RICORDO!;HAHA#EU ME LEMBRO DISSO!;ХА-ХА,#Я ЭТО ЗАПОМНЮ!;HA HA,#PAMIĘTAM TO!;あぁ#それそれ それだよ!;하하,#그래 그랬었지!;哈哈，我记得！;good exposure;
;BE CAREFUL!;ATTENTION !;VORSICHTIG!;¡CUIDADO!;FAI ATTENZIONE!;TENHA CUIDADO!;БУДЬ ОСТОРОЖНЕЕ!;OSTROŻNIE!;きをつけな!;조심해!;当心点！;小心!;
;HEY, THANKS AGAIN!#COME SEE ME AT MY BOAT#NEAR THE LIGHTHOUSE.;SALUT, ENCORE MERCI#PASSE ME VOIR SUR MON BATEAU,#PRÈS DU PHARE.;HE, DANKE NOCHMAL!#BESUCH MICH BEI MEINEM BOOT#BEIM LEUCHTTURM.;¡EH, GRACIAS DE NUEVO!#VEN A VERME A MI BARCA,#CERCA DEL FARO.;EHI, GRAZIE ANCORA!#VIENI ALLA MIA BARCA,#VICINO AL FARO.;OI, OBRIGADO DE NOVO!#ME ENCONTRE NO MEU BARCO#PERTO DO FAROL.;ЭЙ, ЕЩЕ РАЗ СПАСИБО!#НАВЕСТИ МЕНЯ У МОЕЙ ЛОДКИ#ВОЗЛЕ МАЯКА.;HEJ, JESZCZE RAZ DZIĘKUJĘ!#ODWIEDŹ MNIE PRZY MOJEJ ŁODZI#NIEDALEKO LATARNI.;さっきは ありがとな!#ボートまで あいに きてくれ#とうだいの ちかくだ;다시 한 번 고마워!#나중에 등대 근처에 있는#보트로 와줘.;嗨，容我再次感谢！#到船上来见我。#船就在灯塔附近。;嗨,再次感謝#請來船上見我#船在靠近燈塔的地方.;
;HHY, THANEKS GIN!!#CMMA ATMYIBOTA EEEE .;SAUT, ECR MRCI#PSE MVIR SMN BTEU,#PR DPHRE .;HH, DNNKK NCHMLLL#BSSUON MILK BIII MINNNM OOOL#BNNM LUONNTTTTM.;¡E, GRRCIS DNEVO!#VNAVRRBARCCC.;HHH, ZZZZROCNAA!#VEEEN LLL MRIABRARCA.;O,, BBBBRGD D NVO!!!#M EENCNNNT OO MUU BRC .;ЭЭЙ, ЕЩРЕАЗСПА ИОБ!#НВЕСТИ УАМЕОЙ ЛОКИДМЕ НЯ.;HHJ, JJSZZRZ DZKUJJJJ!!#ODWDX MN PRZMM ŁDDD.;きは のりカとナ!#ボート のこ くれ#とうだい　ち…;한다 번시 마워고!#중나에 근있대 에처 는등 .;海，容再感谢！！#到舟见我。;每,再感謝#請一舟見我.;
;. . .;. . .;. . .;. . .;. . .;. . .;. . .;. . .;. . .;. . .;…………;;
;;;;;;;;;;;;;
;CAN YOU GET ME SOME BOATWOOD?#THERE'S ONLY ONE TREE,#IT GROWS CLOSE TO SNAKES!;J'AI BESOIN DE BOIS À BATEAU.#MAIS UN SEUL ARBRE CONVIENT,#CELUI PRÈS DES SERPENTS !;KANNST DU MIR BOOTSHOLZ BESORGEN?#ES GIBT NUR EINEN BAUM,#UND DA SIND SCHLANGEN!;¿PUEDES CONSEGUIRME MADERA DE BARCA?#SOLO HAY UN ÁRBOL,#¡CERCA DE LAS SERPIENTES!;PUOI PORTARMI DELLA LEGNA PER BARCHE?#C'È UN SOLO ALBERO E#CRESCE VICINO AI SERPENTI!;PODE ME TRAZER MADEIRA DE BARCO?#SÓ TEM UMA ÁRVORE,#ELA FICA PERTO DAS COBRAS!;ДОСТАНЕШЬ МНЕ ЛОДОЧНОЙ ДРЕВЕСИНЫ?#ТУТ ТОЛЬКО ОДНО ДЕРЕВО,#И РАСТЕТ ОНО РЯДОМ СО ЗМЕЯМИ!;PRZYNIESIESZ MI DREWNO?#JEST TYLKO JEDNO DOBRE DRZEWO,#W POBLIŻU WĘŻY!;ボートようの もくざいを もってきて くれないか?#はえてるのは いっぽんだけだ#ヘビの ちかくに たってる きだよ!;혹시 보트나무 좀 구해줄 수 있어?#나무는 딱 한 그루 자라는데,#뱀들이 있는 곳 근처에 있어!;能给我些造船用的木材吗？#这种树只有一棵，#就长在蛇的附近！;你能給我一些造船所需的木材麼?#只有一顆樹,#這顆樹長在靠近蛇的地方!;
;HAHA,#I REMEMBER THAT!;HA HA, ÇA ME RAPPELLE#NOTRE RENCONTRE !;HA, DARAN WERDE#ICH MICH ERINNERN!;¡JA, JA#LO RECUERDO!;AH AH,#RICORDO!;HAHA#EU ME LEMBRO DISSO!;ХА-ХА,#Я ЭТО ЗАПОМНЮ!;HA HA,#PAMIĘTAM TO!;あぁ#それそれ それだよ!;하하,#그래 그랬었지!;哈哈，我还记得！;哈哈,#我記住了!;
;BE CAREFUL!;ATTENTION !;AUFPASSEN!;¡CUIDADO!;FAI ATTENZIONE!;TENHA CUIDADO!;БУДЬ ОСТОРОЖНЕЕ!;UWAŻAJ!;きをつけな!;조심해!;当心点！;小心!;
;I NEED SOME TIME TO FIX THINGS,#BUT THEN WE CAN GO ON A TRIP!;LAISSE-MOI LE TEMPS DE RÉPARER,#PUIS JE T'EMMÈNE EN CROISIÈRE.;ICH MUSS EIN PAAR DER SACHEN#REPARIEREN, ABER DANN DREHEN#WIR EINE RUNDE!;¡NECESITO ARREGLAR ALGUNAS COSAS,#PERO LUEGO PODEMOS IRNOS!;ORA MI SERVE UN PO' DI TEMPO,#MA POI POTREMO SALPARE!;SÓ PRECISO FAZER UNS REPAROS,#DEPOIS PODEMOS FAZER UMA VIAGEM!;МНЕ НУЖНО ВРЕМЯ НА ПОЧИНКУ,#НО ПОТОМ МЫ ОТПРАВИМСЯ В ПУТЕШЕСТВИЕ!;MUSZĘ NAPRAWIĆ KILKA RZECZY,#ALE POTEM MOŻEMY RUSZYĆ NA WYCIECZKĘ!;いくつか てなおしが ひつよう なんだが#おわりしだい しゅっぱつしよう!;보트를 고치려면 잠시 시간이 필요해.#하지만 끝나면 함께 모험을 떠날 수 있어!;我需要些时间来修理，#但之后我们就能去旅行了！;我需要一些時間來修補,#但是之後我們可以繼續旅行!;
;;;;;;;;;;;;;
;HOP IN!;EMBARQUE !;KOMM AN BORD!;¡SUBE!;SALTA A BORDO!;PODE VIR!;ЗАПРЫГИВАЙ!;WSKAKUJ!;ほら のって!;어서 올라타!;上船！;上來!;
;HAHA,#I REMEMBER THAT!;HA HA, ÇA ME RAPPELLE#NOTRE RENCONTRE !;HA, DAS VERGESSE#ICH NICHT!;¡JA, JA#LO RECUERDO!;AH AH,#RICORDO!;HAHA#EU ME LEMBRO DISSO!;ХА-ХА,#Я ЭТО ЗАПОМНЮ!;HA HA,#PAMIĘTAM TO!;あぁ#それそれ それだよ!;하하,#그래 그랬었지!;哈哈，我还记得！;哈哈,#我記得!;
;BE CAREFUL!;ATTENTION !;PASS DOCH AUF!;¡CUIDADO!;FAI ATTENZIONE!;TENHA CUIDADO!;БУДЬ ОСТОРОЖНЕЕ!;OSTROŻNIE!;きをつけな!;조심해!;当心点！;小心!;
;;;;;;;;;;;;;
